intersect	slope	p	BH	func	func_type	dataset
-0.000202373970585827	0.0304529686804676	0.000268417515143789	0.0010626768517638	K08305	kos	ERP012177 | CRC
-0.000126879007993887	0.037226059564075	0.000806713762495834	0.00278508322766419	K08306	kos	ERP012177 | CRC
-0.000700075377177367	0.0127544474399464	0.00597079776780914	0.0159588143102733	K08307	kos	ERP012177 | CRC
-0.000130803426162738	0.0465160425307727	6.71211363920577e-05	0.000324081241268624	K08308	kos	ERP012177 | CRC
-0.000116652002249567	0.0308513534540061	0.000518470555361478	0.00189127623968338	K08310	kos	ERP012177 | CRC
-0.000129437042645479	0.0426495273977931	4.92485346914126e-06	5.42786700636946e-05	K08311	kos	ERP012177 | CRC
-0.000140978189174487	0.0550675650955555	1.5242756722321e-05	9.51902977006317e-05	K08312	kos	ERP012177 | CRC
-7.63577317200405e-05	0.0542438511267604	1.19424024344557e-05	8.08898326007082e-05	K08313	kos	ERP012177 | CRC
-0.000329070760782664	0.0111993711013505	0.100644058884781	0.179749204474744	K08314	kos	ERP012177 | CRC
-0.000180434506983508	0.0379478562239401	6.23846327573859e-05	0.000306636330502405	K08315	kos	ERP012177 | CRC
-7.51088280177161e-05	0.0903773928872926	2.63399734963264e-08	1.58723996133707e-06	K08318	kos	ERP012177 | CRC
-7.52468649248981e-05	0.0624253892872899	3.77550066460736e-06	4.61008502204688e-05	K08320	kos	ERP012177 | CRC
-0.000415820248084775	0.017949144682935	0.00035828119171023	0.00136662997564467	K08322	kos	ERP012177 | CRC
-9.303612852424e-05	0.0295160862627583	5.29274254343547e-08	2.66938319581963e-06	K08323	kos	ERP012177 | CRC
-7.5092093291833e-05	0.0688948457353645	1.17874633510481e-06	2.50103064941659e-05	K08324	kos	ERP012177 | CRC
-0.000276095286816761	0.0130119961006395	0.0138870282440133	0.0328251711931848	K08325	kos	ERP012177 | CRC
-7.49604460880634e-05	0.0982780491619457	6.40105267645751e-09	6.60019653750285e-07	K08326	kos	ERP012177 | CRC
-7.53046011002288e-05	0.0519753430314531	5.79955894562104e-06	5.85101427307576e-05	K08344	kos	ERP012177 | CRC
-0.000117239044714291	0.0353013432844344	8.7093669541257e-07	2.28313348401939e-05	K08348	kos	ERP012177 | CRC
-0.000134942285185887	0.05018093890543	6.35484993186767e-08	3.10384249303852e-06	K08349	kos	ERP012177 | CRC
-0.0001336591791284	0.049044357901686	8.98267683987365e-08	4.16557324813744e-06	K08350	kos	ERP012177 | CRC
-7.50631084487003e-05	0.0390666169232334	0.000255316493215417	0.00101863158084225	K08351	kos	ERP012177 | CRC
-0.000120690855835743	0.012839731884624	0.025348113121242	0.0550633168925856	K08352	kos	ERP012177 | CRC
-7.51637721053396e-05	0.0439920602293994	4.5718758144894e-06	5.13644159303409e-05	K08354	kos	ERP012177 | CRC
-0.000110990364634325	0.0294284767087973	0.0187988675055036	0.0425288860192769	K08358	kos	ERP012177 | CRC
-0.000165626583971887	0.0758872374400248	2.03255489188289e-05	0.000121066170710354	K08359	kos	ERP012177 | CRC
-7.50185438504465e-05	0.0831678827457075	8.35203514756865e-06	6.48050887704323e-05	K08363	kos	ERP012177 | CRC
-0.00567396402903183	0.0142648731596346	0.0856538899985689	0.15653172492846	K08368	kos	ERP012177 | CRC
0.000157137925507687	-0.0373157630029588	2.85152951603901e-09	3.54426048003533e-07	K08372	kos	ERP012177 | CRC
